period,business_unit,region,revenue,cogs,gross_profit,opex,ebit,net_income
2023-Q1,Electronics,Asia,15000000,8500000,6500000,2200000,2800000,2100000
2023-Q1,Electronics,Europe,9000000,5100000,3900000,1400000,1800000,1350000
2023-Q1,Electronics,Americas,7000000,4000000,3000000,1100000,1400000,1050000
2023-Q2,Electronics,Asia,16000000,9000000,7000000,2300000,3000000,2250000
2023-Q2,Electronics,Europe,9500000,5400000,4100000,1500000,2000000,1500000
2023-Q2,Electronics,Americas,7500000,4200000,3300000,1150000,1600000,1200000
2023-Q3,Electronics,Asia,17000000,9500000,7500000,2400000,3300000,2475000
2023-Q3,Electronics,Europe,10000000,5600000,4400000,1550000,2200000,1650000
2023-Q3,Electronics,Americas,8000000,4400000,3600000,1200000,1700000,1275000
2023-Q4,Electronics,Asia,18000000,10000000,8000000,2500000,3700000,2775000
2023-Q4,Electronics,Europe,11000000,6100000,4900000,1600000,2500000,1875000
2023-Q4,Electronics,Americas,8500000,4700000,3800000,1250000,1900000,1425000
2023-Q1,Consumer Goods,Asia,12000000,7200000,4800000,1800000,2100000,1575000
2023-Q1,Consumer Goods,Europe,8000000,4800000,3200000,1200000,1500000,1125000
2023-Q1,Consumer Goods,Americas,6000000,3600000,2400000,900000,1100000,825000
2023-Q2,Consumer Goods,Asia,12500000,7500000,5000000,1900000,2200000,1650000
2023-Q2,Consumer Goods,Europe,8500000,5100000,3400000,1250000,1600000,1200000
2023-Q2,Consumer Goods,Americas,6500000,3900000,2600000,950000,1200000,900000
2023-Q3,Consumer Goods,Asia,13000000,7800000,5200000,1950000,2350000,1762500
2023-Q3,Consumer Goods,Europe,9000000,5400000,3600000,1300000,1700000,1275000
2023-Q3,Consumer Goods,Americas,7000000,4200000,2800000,1000000,1300000,975000
2023-Q4,Consumer Goods,Asia,14000000,8400000,5600000,2000000,2600000,1950000
2023-Q4,Consumer Goods,Europe,9500000,5700000,3800000,1350000,1900000,1425000
2023-Q4,Consumer Goods,Americas,7500000,4500000,3000000,1050000,1500000,1125000
