period,business_unit,region,headcount,marketing,it,travel,other,total_opex
2023-Q1,Electronics,Asia,1200000,450000,350000,100000,100000,2200000
2023-Q1,Electronics,Europe,750000,300000,220000,80000,50000,1400000
2023-Q1,Electronics,Americas,600000,240000,170000,60000,30000,1100000
2023-Q2,Electronics,Asia,1250000,470000,360000,110000,110000,2300000
2023-Q2,Electronics,Europe,800000,310000,230000,85000,75000,1500000
2023-Q2,Electronics,Americas,620000,250000,175000,65000,40000,1150000
2023-Q3,Electronics,Asia,1300000,490000,380000,115000,115000,2400000
2023-Q3,Electronics,Europe,830000,320000,240000,90000,70000,1550000
2023-Q3,Electronics,Americas,650000,260000,180000,70000,40000,1200000
2023-Q4,Electronics,Asia,1350000,510000,400000,120000,120000,2500000
2023-Q4,Electronics,Europe,860000,340000,250000,95000,55000,1600000
2023-Q4,Electronics,Americas,680000,270000,185000,75000,40000,1250000
2023-Q1,Consumer Goods,Asia,1000000,380000,270000,90000,60000,1800000
2023-Q1,Consumer Goods,Europe,660000,260000,180000,60000,40000,1200000
2023-Q1,Consumer Goods,Americas,500000,195000,135000,45000,25000,900000
2023-Q2,Consumer Goods,Asia,1050000,400000,285000,95000,70000,1900000
2023-Q2,Consumer Goods,Europe,690000,270000,190000,65000,35000,1250000
2023-Q2,Consumer Goods,Americas,520000,205000,140000,50000,35000,950000
2023-Q3,Consumer Goods,Asia,1080000,415000,295000,100000,60000,1950000
2023-Q3,Consumer Goods,Europe,710000,280000,195000,68000,47000,1300000
2023-Q3,Consumer Goods,Americas,545000,215000,145000,52000,43000,1000000
2023-Q4,Consumer Goods,Asia,1100000,430000,305000,105000,60000,2000000
2023-Q4,Consumer Goods,Europe,730000,290000,200000,72000,58000,1350000
2023-Q4,Consumer Goods,Americas,570000,225000,150000,55000,50000,1050000
